src,atom_id1,tgt,atom_id2,weight,x,y,z,isMasked
13,43Si,4,13Nb,0.395621,-0.2048,0.2048,0.2695,0
13,43Si,5,18Nb,0.401444,0.2952,0.0372,-0.2695,0
13,43Si,6,19Nb,0.75855,0.4628,0.5372,-0.2695,0
13,43Si,7,20Nb,0.755485,-0.0372,0.7048,-0.2695,0
13,43Si,8,21Nb,0.395621,-0.2048,0.2048,-0.2695,0
13,43Si,9,39Si,0.598971,0.129,0.371,0.4522,0
13,43Si,10,40Si,0.555485,0.5,0.242,0.0,0
13,43Si,11,41Si,0.785575,0.258,0.742,0.0,0
13,43Si,12,42Si,0.555485,-0.242,0.5,0.0,0
13,43Si,14,48Si,0.599047,0.129,0.371,-0.4523,0
14,48Si,0,0Nb,0.4523,0.0,0.0,0.4523,0
14,48Si,1,10Nb,0.812429,0.1662,-0.3338,0.7218,0
14,48Si,2,11Nb,0.812429,0.3338,0.1662,0.7218,0
14,48Si,3,12Ni,0.812429,-0.1662,0.3338,0.7218,0
14,48Si,4,13Nb,0.812429,-0.3338,-0.1662,0.7218,0
14,48Si,5,18Nb,0.415284,0.1662,-0.3338,0.1828,0
14,48Si,6,19Nb,0.415284,0.3338,0.1662,0.1828,0
14,48Si,7,20Nb,0.415284,-0.1662,0.3338,0.1828,0
14,48Si,8,21Nb,0.415284,-0.3338,-0.1662,0.1828,0
14,48Si,9,39Si,0.9045,0.0,0.0,0.9045,0
14,48Si,10,40Si,0.599047,0.371,-0.129,0.4523,0
14,48Si,11,41Si,0.599047,0.129,0.371,0.4523,0
14,48Si,12,42Si,0.599047,-0.371,0.129,0.4523,0
14,48Si,13,43Si,0.599047,-0.129,-0.371,0.4523,0
